Scenario;Metamodel;Metric;Value
FormalExpression;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
FormalExpression;mbpmn;number of modules;13
FormalExpression;mbpmn;number of nodes;57
FormalExpression;mbpmn;number of edges;121
FormalExpression;mbpmn;hypergraph size;341.19329686298676
FormalExpression;mbpmn;hypergraph complexity;490.5066936478419
FormalExpression;mbpmn;inter module coupling;115.3090112480154
FormalExpression;mbpmn;graph cohesion;0.025671805927569843
GlobalBusinessRuleTask;org.eclipse.bpmn2;number of modules;5
GlobalBusinessRuleTask;org.eclipse.bpmn2;number of nodes;176
GlobalBusinessRuleTask;org.eclipse.bpmn2;number of edges;458
GlobalBusinessRuleTask;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
GlobalBusinessRuleTask;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
GlobalBusinessRuleTask;org.eclipse.bpmn2;inter module coupling;52.42442878004087
GlobalBusinessRuleTask;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
GlobalBusinessRuleTask;mbpmn;number of modules;10
GlobalBusinessRuleTask;mbpmn;number of nodes;67
GlobalBusinessRuleTask;mbpmn;number of edges;156
GlobalBusinessRuleTask;mbpmn;hypergraph size;415.37966306091556
GlobalBusinessRuleTask;mbpmn;hypergraph complexity;717.9286400735339
GlobalBusinessRuleTask;mbpmn;inter module coupling;203.35518775959167
GlobalBusinessRuleTask;mbpmn;graph cohesion;0.026187383820438975
GlobalChoreographyTask;org.eclipse.bpmn2;number of modules;5
GlobalChoreographyTask;org.eclipse.bpmn2;number of nodes;176
GlobalChoreographyTask;org.eclipse.bpmn2;number of edges;458
GlobalChoreographyTask;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
GlobalChoreographyTask;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
GlobalChoreographyTask;org.eclipse.bpmn2;inter module coupling;52.42442878004087
GlobalChoreographyTask;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
GlobalChoreographyTask;mbpmn;number of modules;14
GlobalChoreographyTask;mbpmn;number of nodes;53
GlobalChoreographyTask;mbpmn;number of edges;109
GlobalChoreographyTask;mbpmn;hypergraph size;312.19342453033164
GlobalChoreographyTask;mbpmn;hypergraph complexity;513.977243080234
