Mode;Model;Resource;Metamodel;Util
Full;04Selbstbedienungsrestaurant_ed827e5edd6249fca7269c8f5ff81450.bpmn;04Selbstbedienungsrestaurant_ed827e5edd6249fca7269c8f5ff81450.bpmn;mbpmn;0.5918367346938775
Full;04__Schufa_2f43881cfdd54aa2b75ea1ba63060e61.bpmn;04__Schufa_2f43881cfdd54aa2b75ea1ba63060e61.bpmn;org.eclipse.bpmn2;0.30128205128205127
Full;04__Schufa_2f43881cfdd54aa2b75ea1ba63060e61.bpmn;04__Schufa_2f43881cfdd54aa2b75ea1ba63060e61.bpmn;mbpmn;0.5161290322580645
Full;04__Schufa__neu__6d05933288214e2e9aff97e3f06ac825.bpmn;04__Schufa__neu__6d05933288214e2e9aff97e3f06ac825.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;04__Schufa__neu__6d05933288214e2e9aff97e3f06ac825.bpmn;04__Schufa__neu__6d05933288214e2e9aff97e3f06ac825.bpmn;mbpmn;0.5268817204301075
Full;05Schufascoring_9a98a9585a984a6aba5deadb7cf346b9.bpmn;05Schufascoring_9a98a9585a984a6aba5deadb7cf346b9.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;05Schufascoring_9a98a9585a984a6aba5deadb7cf346b9.bpmn;05Schufascoring_9a98a9585a984a6aba5deadb7cf346b9.bpmn;mbpmn;0.6020408163265306
Full;07_-_Schufascoring_4787494aaa1543539717c95ca3dca6c8.bpmn;07_-_Schufascoring_4787494aaa1543539717c95ca3dca6c8.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;07_-_Schufascoring_4787494aaa1543539717c95ca3dca6c8.bpmn;07_-_Schufascoring_4787494aaa1543539717c95ca3dca6c8.bpmn;mbpmn;0.5376344086021505
Full;08_Restaurant_e841593ad625450d951d0558b35d6c02.bpmn;08_Restaurant_e841593ad625450d951d0558b35d6c02.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;08_Restaurant_e841593ad625450d951d0558b35d6c02.bpmn;08_Restaurant_e841593ad625450d951d0558b35d6c02.bpmn;mbpmn;0.5376344086021505
Full;1;1.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;1;1.bpmn;mbpmn;0.5309734513274337
Full;1-Vorbereitung_des_Warenversands_02c53df6c112481183fec4b929fd3210.bpmn;1-Vorbereitung_des_Warenversands_02c53df6c112481183fec4b929fd3210.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;1-Vorbereitung_des_Warenversands_02c53df6c112481183fec4b929fd3210.bpmn;1-Vorbereitung_des_Warenversands_02c53df6c112481183fec4b929fd3210.bpmn;mbpmn;0.5769230769230769
Full;1._Warenversand_f98ccccb5a944ffd9d958cdd3d8d709c.bpmn;1._Warenversand_f98ccccb5a944ffd9d958cdd3d8d709c.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;1._Warenversand_f98ccccb5a944ffd9d958cdd3d8d709c.bpmn;1._Warenversand_f98ccccb5a944ffd9d958cdd3d8d709c.bpmn;mbpmn;0.5769230769230769
Full;1.__bung_Vorbereitung_des_Warenversand_b1924b3dfc1a48b48375847178d53af3.bpmn;1.__bung_Vorbereitung_des_Warenversand_b1924b3dfc1a48b48375847178d53af3.bpmn;org.eclipse.bpmn2;0.27564102564102566
Full;1.__bung_Vorbereitung_des_Warenversand_b1924b3dfc1a48b48375847178d53af3.bpmn;1.__bung_Vorbereitung_des_Warenversand_b1924b3dfc1a48b48375847178d53af3.bpmn;mbpmn;0.5641025641025641
Full;10;10.bpmn;org.eclipse.bpmn2;0.27564102564102566
Full;10;10.bpmn;mbpmn;0.5641025641025641
Full;100;100.bpmn;org.eclipse.bpmn2;0.38461538461538464
Full;100;100.bpmn;mbpmn;0.6039603960396039
Full;101;101.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;101;101.bpmn;mbpmn;0.5353535353535354
Full;102;102.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;102;102.bpmn;mbpmn;0.5913978494623656
Full;11;11.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;11;11.bpmn;mbpmn;0.5841584158415841
