Scenario;Metamodel;Metric;Value
ResourceDemandingBehaviour (2);mPCM;number of nodes;75
ResourceDemandingBehaviour (2);mPCM;number of edges;115
ResourceDemandingBehaviour (2);mPCM;hypergraph size;474.2757770928125
ResourceDemandingBehaviour (2);mPCM;hypergraph complexity;301.88367850395343
ResourceDemandingBehaviour (2);mPCM;inter module coupling;37.825491662974244
ResourceDemandingBehaviour (2);mPCM;graph cohesion;0.008565434912255396
UniqueCallTargets (1);PCM;number of modules;21
UniqueCallTargets (1);PCM;number of nodes;199
UniqueCallTargets (1);PCM;number of edges;500
UniqueCallTargets (1);PCM;hypergraph size;1530.2103382357868
UniqueCallTargets (1);PCM;hypergraph complexity;1710.782984628785
UniqueCallTargets (1);PCM;inter module coupling;414.4872675869932
UniqueCallTargets (1);PCM;graph cohesion;0.005646490478000163
UniqueCallTargets (1);mPCM;number of modules;18
UniqueCallTargets (1);mPCM;number of nodes;140
UniqueCallTargets (1);mPCM;number of edges;257
UniqueCallTargets (1);mPCM;hypergraph size;1006.1143438501603
UniqueCallTargets (1);mPCM;hypergraph complexity;860.5688132899352
UniqueCallTargets (1);mPCM;inter module coupling;362.15072358147415
UniqueCallTargets (1);mPCM;graph cohesion;0.006141309841906606
