Scenario;Metamodel;Metric;Value
FormalExpression (1);org.eclipse.bpmn2;number of modules;5
FormalExpression (1);org.eclipse.bpmn2;number of nodes;176
FormalExpression (1);org.eclipse.bpmn2;number of edges;458
FormalExpression (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
FormalExpression (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
FormalExpression (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
FormalExpression (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
FormalExpression (1);mbpmn;number of modules;13
FormalExpression (1);mbpmn;number of nodes;57
FormalExpression (1);mbpmn;number of edges;121
FormalExpression (1);mbpmn;hypergraph size;341.19329686298676
FormalExpression (1);mbpmn;hypergraph complexity;490.5066936478419
FormalExpression (1);mbpmn;inter module coupling;115.3090112480154
FormalExpression (1);mbpmn;graph cohesion;0.025671805927569843
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;number of modules;5
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;number of nodes;176
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;number of edges;458
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
GlobalBusinessRuleTask (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
GlobalBusinessRuleTask (1);mbpmn;number of modules;10
GlobalBusinessRuleTask (1);mbpmn;number of nodes;67
GlobalBusinessRuleTask (1);mbpmn;number of edges;156
GlobalBusinessRuleTask (1);mbpmn;hypergraph size;415.37966306091556
GlobalBusinessRuleTask (1);mbpmn;hypergraph complexity;717.9286400735339
GlobalBusinessRuleTask (1);mbpmn;inter module coupling;203.35518775959167
GlobalBusinessRuleTask (1);mbpmn;graph cohesion;0.026187383820438975
GlobalChoreographyTask (1);org.eclipse.bpmn2;number of modules;5
GlobalChoreographyTask (1);org.eclipse.bpmn2;number of nodes;176
GlobalChoreographyTask (1);org.eclipse.bpmn2;number of edges;458
GlobalChoreographyTask (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
GlobalChoreographyTask (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
GlobalChoreographyTask (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
GlobalChoreographyTask (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
GlobalChoreographyTask (1);mbpmn;number of modules;14
GlobalChoreographyTask (1);mbpmn;number of nodes;53
GlobalChoreographyTask (1);mbpmn;number of edges;109
GlobalChoreographyTask (1);mbpmn;hypergraph size;312.19342453033164
GlobalChoreographyTask (1);mbpmn;hypergraph complexity;513.977243080234
GlobalChoreographyTask (1);mbpmn;inter module coupling;167.5651688289754
GlobalChoreographyTask (1);mbpmn;graph cohesion;0.03166042899978712
ImplicitThrowEvent (1);org.eclipse.bpmn2;number of modules;5
ImplicitThrowEvent (1);org.eclipse.bpmn2;number of nodes;176
ImplicitThrowEvent (1);org.eclipse.bpmn2;number of edges;458
ImplicitThrowEvent (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ImplicitThrowEvent (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
ImplicitThrowEvent (1);org.eclipse.bpmn2;inter module coupling;52.4244287800409
ImplicitThrowEvent (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
ImplicitThrowEvent (1);mbpmn;number of modules;9
ImplicitThrowEvent (1);mbpmn;number of nodes;57
ImplicitThrowEvent (1);mbpmn;number of edges;132
ImplicitThrowEvent (1);mbpmn;hypergraph size;341.19329686298676
ImplicitThrowEvent (1);mbpmn;hypergraph complexity;574.0280144037629
ImplicitThrowEvent (1);mbpmn;inter module coupling;103.51401914499706
ImplicitThrowEvent (1);mbpmn;graph cohesion;0.030043088042630416
InputOutputBinding (1);org.eclipse.bpmn2;number of modules;5
InputOutputBinding (1);org.eclipse.bpmn2;number of nodes;176
InputOutputBinding (1);org.eclipse.bpmn2;number of edges;458
InputOutputBinding (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
