Mode;Model;Resource;Metamodel;Util
Full;Specific_KAMP4aPS_Component_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;mkamp;0.6284153005464481
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.aps;edu.kit.ipd.sdq.kamp;0.3641304347826087
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.aps;mkamp;0.5677966101694916
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.fieldofactivityannotations;mkamp;0.875
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.modificationmarks;edu.kit.ipd.sdq.kamp;0.07065217391304347
Single;Specific_KAMP4aPS_Component_Scenario_mod;My.modificationmarks;mkamp;0.52
Full;Specific_KAMP4aPS_Interface_Scenario;My.aps My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.5543478260869565
Full;Specific_KAMP4aPS_Interface_Scenario;My.aps My.fieldofactivityannotations;mkamp;0.6455696202531646
Single;Specific_KAMP4aPS_Interface_Scenario;My.aps;edu.kit.ipd.sdq.kamp;0.3641304347826087
Single;Specific_KAMP4aPS_Interface_Scenario;My.aps;mkamp;0.5677966101694916
Single;Specific_KAMP4aPS_Interface_Scenario;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;Specific_KAMP4aPS_Interface_Scenario;My.fieldofactivityannotations;mkamp;0.875
Full;Specific_KAMP4aPS_Interface_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;edu.kit.ipd.sdq.kamp;0.6195652173913043
Full;Specific_KAMP4aPS_Interface_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;mkamp;0.6514285714285715
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.aps;edu.kit.ipd.sdq.kamp;0.3641304347826087
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.aps;mkamp;0.5677966101694916
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.fieldofactivityannotations;mkamp;0.875
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.modificationmarks;edu.kit.ipd.sdq.kamp;0.06521739130434782
Single;Specific_KAMP4aPS_Interface_Scenario_mod;My.modificationmarks;mkamp;0.7058823529411765
Full;Specific_KAMP4aPS_Module_Scenario;My.aps My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.5543478260869565
Full;Specific_KAMP4aPS_Module_Scenario;My.aps My.fieldofactivityannotations;mkamp;0.6455696202531646
Single;Specific_KAMP4aPS_Module_Scenario;My.aps;edu.kit.ipd.sdq.kamp;0.3641304347826087
Single;Specific_KAMP4aPS_Module_Scenario;My.aps;mkamp;0.5677966101694916
Single;Specific_KAMP4aPS_Module_Scenario;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;Specific_KAMP4aPS_Module_Scenario;My.fieldofactivityannotations;mkamp;0.875
Full;Specific_KAMP4aPS_Module_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;edu.kit.ipd.sdq.kamp;0.5978260869565217
Full;Specific_KAMP4aPS_Module_Scenario_mod;My.aps My.fieldofactivityannotations My.modificationmarks;mkamp;0.6285714285714286
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.aps;edu.kit.ipd.sdq.kamp;0.3641304347826087
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.aps;mkamp;0.5677966101694916
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.fieldofactivityannotations;edu.kit.ipd.sdq.kamp;0.19021739130434784
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.fieldofactivityannotations;mkamp;0.875
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.modificationmarks;edu.kit.ipd.sdq.kamp;0.043478260869565216
Single;Specific_KAMP4aPS_Module_Scenario_mod;My.modificationmarks;mkamp;0.47058823529411764
